Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Valence (FRA) 2011,773,1,RAMÓN JULIAN PUIGBLANQUE,ESP,24   14. | TOP  1. [7.12],50-,39-
IFSC Climbing Worldcup (L) - Valence (FRA) 2011,1559,2,SEAN MCCOLL,CAN,TOP  1. | TOP  1. [3.97],45+,38-
IFSC Climbing Worldcup (L) - Valence (FRA) 2011,2254,3,SACHI AMMA,JPN,TOP  1. | TOP  1. [3.97],46-,32-
IFSC Climbing Worldcup (L) - Valence (FRA) 2011,3124,4,THOMAS TAUPORN,GER,34-  9. | 35   8. [9.00],41-,29+
IFSC Climbing Worldcup (L) - Valence (FRA) 2011,1214,5,JAKOB SCHUBERT,AUT,TOP  1. | TOP  1. [3.97],41-,29
IFSC Climbing Worldcup (L) - Valence (FRA) 2011,447,6,MANUEL ROMAIN,FRA,TOP  1. | TOP  1. [3.97],46,29-
IFSC Climbing Worldcup (L) - Valence (FRA) 2011,444,7,GAUTIER SUPPER,FRA,TOP  1. | 35   8. [6.36],44-,29-
IFSC Climbing Worldcup (L) - Valence (FRA) 2011,437,8,ROMAIN DESGRANGES,FRA,32+  10. | 35   8. [9.49],41-,29-
IFSC Climbing Worldcup (L) - Valence (FRA) 2011,1129,9,DOMEN SKOFIC,SLO,TOP  1. | 36-  7. [5.61],40-,
IFSC Climbing Worldcup (L) - Valence (FRA) 2011,448,10,THOMAS BALLET,FRA,TOP  1. | TOP  1. [3.97],35,
IFSC Climbing Worldcup (L) - Valence (FRA) 2011,1216,11,MARIO LECHNER,AUT,TOP  1. | 32   11. [7.35],33-,
IFSC Climbing Worldcup (L) - Valence (FRA) 2011,5324,12,FLAVIEN GUERIMAND,FRA,23-  22. | 32   11. [17.15],32,
IFSC Climbing Worldcup (L) - Valence (FRA) 2011,5033,13,SERGEJ EPIH,SLO,27-  11. | 26-  21. [15.56],31+,
IFSC Climbing Worldcup (L) - Valence (FRA) 2011,4950,14,SILVIO REFFO,ITA,26-  12. | 21-  31. [19.29],31+,
IFSC Climbing Worldcup (L) - Valence (FRA) 2011,1127,15,URBAN PRIMOZIC,SLO,15   32. | 32-  14. [22.98],31+,
IFSC Climbing Worldcup (L) - Valence (FRA) 2011,1128,16,JURE RAZTRESEN,SLO,15-  33. | 32-  14. [23.86],31+,
IFSC Climbing Worldcup (L) - Valence (FRA) 2011,4716,17,KLEMEN BECAN,SLO,25-  13. | 32   11. [12.49],31,
IFSC Climbing Worldcup (L) - Valence (FRA) 2011,1221,18,MAX RUDIGIER,AUT,24-  16. | 32-  14. [16.99],30+,
IFSC Climbing Worldcup (L) - Valence (FRA) 2011,5034,19,MARTINO ISCHIA,ITA,23-  22. | 32-  14. [20.11],30-,
IFSC Climbing Worldcup (L) - Valence (FRA) 2011,778,20,VICTOR ESTELLER OCAÑA,ESP,24-  16. | 14   32. [23.85],28-,
IFSC Climbing Worldcup (L) - Valence (FRA) 2011,5627,21,MARKUS JUNG,GER,24-  16. | 25-  26. [21.74],26,
IFSC Climbing Worldcup (L) - Valence (FRA) 2011,774,22,MARCO ANTONIO JUBES ANGARITA,ESP,21-  28. | 31-  20. [24.08],25-,
IFSC Climbing Worldcup (L) - Valence (FRA) 2011,3581,23,ELKO SCHELLINGERHOUT,NED,23-  22. | 26-  21. [23.22],23,
IFSC Climbing Worldcup (L) - Valence (FRA) 2011,459,24,ADRIEN TRIBOUT,FRA,24   14. | 14-  34. [22.53],21-,
IFSC Climbing Worldcup (L) - Valence (FRA) 2011,5956,25,IZIDOR ZUPAN,SLO,21-  28. | 32-  14. [21.87],18,
IFSC Climbing Worldcup (L) - Valence (FRA) 2011,864,26,FRANCESCO VETTORATA,ITA,23   20. | 25   24. [22.41],9-,
IFSC Climbing Worldcup (L) - Valence (FRA) 2011,2259,27,NAOTO HAKAMADA,JPN,23-  22. | 25   24. [24.50],,
IFSC Climbing Worldcup (L) - Valence (FRA) 2011,3058,28,MAGNUS MIDTBOE,NOR,23   20. | 24   29. [24.59],,
IFSC Climbing Worldcup (L) - Valence (FRA) 2011,4943,29,DANIEL MORENO DE LOS HUERTO,ESP,11   37. | 32-  14. [24.71],,
IFSC Climbing Worldcup (L) - Valence (FRA) 2011,1481,30,ANTON MARDASHOV,UKR,24-  16. | 14-  34. [24.75],,
IFSC Climbing Worldcup (L) - Valence (FRA) 2011,854,31,MARCELLO BOMBARDI,ITA,23-  22. | 25-  26. [25.72],,
IFSC Climbing Worldcup (L) - Valence (FRA) 2011,314,32,LOÏC TIMMERMANS,BEL,15-  33. | 26-  21. [27.55],,
IFSC Climbing Worldcup (L) - Valence (FRA) 2011,2033,33,JABEE KIM,KOR,23-  22. | 14-  34. [29.28],,
IFSC Climbing Worldcup (L) - Valence (FRA) 2011,6092,34,SANTIAGO DE ALBA FLORES,MEX,20   31. | 24   29. [30.24],,
