Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",1147,1,JANJA GARNBRET,SLO,TOP  1. | TOP  1. [1.22],43+,48+
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",2278,18,MEI KOTAKE,JPN,14+  39. | 29+  9. [22.72],25+,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",891,19,ASJA GOLLO,ITA,23+  24. | 24+  22. [27.19],25,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",68,20,DINARA FAKHRITDINOVA,RUS,26   21. | 29+  9. [16.06],23+,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",1222,21,KATHARINA POSCH,AUT,26+  12. | 29   16. [16.00],23,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",860,22,CLAUDIA GHISOLFI,ITA,19+  30. | 25   18. [24.39],23,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",3888,23,ALINA RING,SUI,26+  12. | 25   18. [17.66],21+,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",457,24,NOLWEN BERTHIER,FRA,26+  12. | 24+  22. [21.54],21+,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",3130,25,KATHERINE CHOONG,SUI,23+  24. | 24+  22. [27.19],21+,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",1368,26,GABRIELA VRABLIKOVA,CZE,22+  28. | 25   18. [23.57],16+,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",4285,27,EVELYNE FUX,SUI,23+  24. | 24+  22. [27.19],15+,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",445,28,CHARLOTTE DURIF,FRA,26   21. | 33+  7. [12.27],,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",3254,29,ANDREA KÜMIN,SUI,24+  23. | 22+  41. [31.26],,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",884,30,LISA DE MARTINI,ITA,18+  32. | 24+  22. [31.86],,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",848,30,JENNY LAVARDA,ITA,18+  32. | 24+  22. [31.86],,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",1397,30,LENKA SLEZAKOVA,CZE,18+  32. | 24+  22. [31.86],,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",2055,33,MINSEON KIM,KOR,23+  24. | 19+  45. [34.25],,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",485,34,SOLÈNE AMOROS,FRA,14+  39. | 24+  22. [35.31],,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",530,34,NOLWENN ARC,FRA,14+  39. | 24+  22. [35.31],,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",977,34,SILVIA CASSOL,ITA,14+  39. | 24+  22. [35.31],,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",4251,34,CHIARA MARIA CLOSTERMANN,GER,14+  39. | 24+  22. [35.31],,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",4301,34,MICHELLE HULLIGER,SUI,14+  39. | 24+  22. [35.31],,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",539,34,LÉA MARIGO,FRA,14+  39. | 24+  22. [35.31],,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",2843,40,KARINA MIROSLAW,POL,19+  30. | 22+  41. [36.00],,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",1239,41,JULIA FISER,AUT,18+  32. | 23+  38. [36.71],,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",895,41,ILARIA SCOLARIS,ITA,18+  32. | 23+  38. [36.71],,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",321,43,CELINE CUYPERS,BEL,18+  32. | 23   40. [37.42],,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",2043,44,SEURAN HAN,KOR,22+  28. | 13   50. [37.75],,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",1724,45,DELANEY MILLER,USA,18+  32. | 22+  41. [38.57],,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",1577,46,REBECCA FRANGOS,CAN,14+  39. | 22+  41. [42.75],,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",800,47,MURIEL RUÍZ DE LARRAMENDI ARANGOA,ESP,14+  39. | 18+  48. [45.43],,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",2488,48,LUCINDA ANN TURNBULL,AUS,14   48. | 19+  45. [46.99],,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",2044,49,HANNARAI SONG,KOR,5   49. | 19+  45. [47.48],,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",1625,50,ANNIE CHOUINARD,CAN,4   50. | 17+  49. [49.50],,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",1486,51,IEVGENIIA KAZBEKOVA,UKR,0 | 0 [51.00],,
